name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
"Карьера в IT. Как найти работу, прокачать навыки и стать крутым разработчиком",Джон Сонмез,https://www.litres.ru/audiobook/dzhon-sonmez/karera-v-it-kak-nayti-rabotu-prokachat-navyki-i-stat-krutym-r-69436486/,4.67,12,0,99584,689.0,[],12,2017
System Design. Машинное обучение. Подготовка к сложному интервью (pdf + epub),Алекс Сюй,https://www.litres.ru/book/aleks-suy/system-design-mashinnoe-obuchenie-podgotovka-k-slozhnomu-intervu-70415851/,5.0,2,0,320,599.0,[],16,2023
Основы программирования с Java,Тимур Машнин,https://www.litres.ru/book/timur-mashnin-30184546/osnovy-programmirovaniya-s-java-67715945/,5.0,10,0,466874,490.0,[],12,2022
Ум программиста. Как понять и осмыслить любой код,Фелин Херманс,https://www.litres.ru/book/felin-hermans/um-programmista-kak-ponyat-i-osmyslit-luboy-kod-69283279/,5.0,1,0,261,549.0,[],0,2021
Программист-фанатик,Чед Фаулер,https://www.litres.ru/book/ched-fauler/programmist-fanatik-9535814/,4.45,75,0,380908,599.0,[],12,2009
Искусственный интеллект в прикладных науках. Транспорт и логистика,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/iskusstvennyy-intellekt-v-prikladnyh-naukah-transport-i-logi-70531261/,4.99,123,0,364174,690.0,[],12,2024
Законы UX-дизайна,Джон Яблонски,https://www.litres.ru/book/dzhon-yablonski/zakony-ux-dizayna-68994901/,5.0,9,0,149,349.0,[],0,2021
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,Ольга Вениаминовна Максименкова,https://www.litres.ru/book/nikita-igorevich-ves/programmirovanie-v-unreal-engine-5-dlya-nachinauscheg-68655653/,3.75,16,0,321,909.0,[],0,2023
Язык запросов «1С:Предприятия 8» (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/yazyk-zaprosov-1s-predpriyatiya-8-epub-40909721/,4.85,33,0,26,200.0,[],12,2022
Изучаем SQL,Алан Бьюли,https://www.litres.ru/book/alan-beaulieu/izuchaem-sql-24500342/,4.0,61,0,309,470.0,[],0,
Python 3 и PyQt 6. Разработка приложений,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/python-3-i-pyqt-6-razrabotka-prilozheniy-68995387/,4.67,3,0,831,549.0,[],0,2023
Паттерны проектирования API (pdf+epub),Джей Джей Гивакс,https://www.litres.ru/book/dzhey-dzhey-givaks/patterny-proektirovaniya-api-pdf-epub-69280438/,3.8,5,0,512,699.0,[],16,2021
Современный подход к программной архитектуре. Сложные компромиссы (+epub),Нил Форд,https://www.litres.ru/book/zhamak-dehgani/sovremennyy-podhod-k-programmnoy-arhitekture-slozhnye-kompr-69932209/,0.0,0,0,480,699.0,[],16,2022
Разработка интерфейсов. Паттерны проектирования (pdf + epub),Дженифер Тидвелл,https://www.litres.ru/book/dzhenifer-tidvell-32/razrabotka-interfeysov-patterny-proektirovaniya-pdf-e-68332339/,5.0,1,0,560,699.0,[],16,2019
"Тестирование видеоигр, или Легкий способ попасть в геймдев",Александр Торговкин,https://www.litres.ru/book/aleksandr-torgovkin/testirovanie-videoigr-ili-legkiy-sposob-popast-v-geymd-70895029/,5.0,5,0,523474,699.0,[],12,2024
C++. Практика многопоточного программирования (pdf+epub),Энтони Уильямс,https://www.litres.ru/book/entoni-uilyams/c-praktika-mnogopotochnogo-programmirovaniya-pdf-epub-64086907/,4.0,4,0,640,699.0,[],16,2019
"101 совет начинающим разработчикам в системе «1С:Предприятие 8» (+ 2epub). Издание 2, стереотипное",Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/101-sovet-nachinauschim-razrabotchikam-v-sisteme-1s-predpri-70759390/,0.0,0,0,214,350.0,[],12,2024
Алгоритмы. С примерами на Python (pdf + epub),Джордж Хайнеман,https://www.litres.ru/book/dzhordzh-hayneman/algoritmy-s-primerami-na-python-pdf-epub-69598561/,4.0,2,0,304,499.0,[],16,2021
Создание микросервисов (pdf+epub),Сэм Ньюмен,https://www.litres.ru/book/sem-numen/sozdanie-mikroservisov-pdf-epub-18307468/,3.69,45,0,624,699.0,[],16,2021
Python без проблем. Решаем реальные задачи и пишем полезный код (+ epub),Даниэль Зингаро,https://www.litres.ru/book/daniel-zingaro-32366/python-bez-problem-reshaem-realnye-zadachi-i-pishem-p-68677490/,4.67,3,0,336,699.0,[],16,2021
PHP и MySQL. 25 уроков для начинающих,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/php-i-mysql-25-urokov-dlya-nachinauschih-66338142/,5.0,4,0,426,449.0,[],0,2020
React: современные шаблоны для разработки приложений (pdf+epub),Алекс Бэнкс,https://www.litres.ru/book/a-benks-piter/react-sovremennye-shablony-dlya-razrabotki-prilozheniy-pdf-e-66655834/,5.0,5,0,320,599.0,[],16,2020
Знакомство с Python (+ epub),Дэн Бейдер,https://www.litres.ru/book/dzhoanna-yablonski/znakomstvo-s-python-epub-68677476/,4.75,8,0,512,599.0,[],16,2022
JavaScript с нуля,Кирупа Чиннатхамби,https://www.litres.ru/book/kirupa-chinnathambi/javascript-s-nulya-65486971/,4.74,19,0,400,699.0,[],16,2020
